X,Y,TWT_MS,AI_NORM
0.0,0.0,3439.4,1.986
80.0,0.0,3438.8,2.399
160.0,0.0,3438.5,2.032
240.0,0.0,3434.5,2.572
320.0,0.0,3435.5,2.453
400.0,0.0,3432.7,2.761
480.0,0.0,3432.7,2.114
560.0,0.0,3432.1,2.09
640.0,0.0,3435.5,2.058
720.0,0.0,3432.8,1.705
800.0,0.0,3432.9,1.675
880.0,0.0,3434.4,0.758
960.0,0.0,3437.4,1.184
1040.0,0.0,3440.6,0.613
1120.0,0.0,3438.3,0.371
1200.0,0.0,3442.2,0.485
1280.0,0.0,3442.8,0.384
1360.0,0.0,3444.7,0.186
1440.0,0.0,3443.5,-0.071
1520.0,0.0,3451.5,0.073
1600.0,0.0,3455.4,-0.004
1680.0,0.0,3453.4,-0.377
1760.0,0.0,3458.3,-0.479
1840.0,0.0,3458.2,-0.777
1920.0,0.0,3464.3,-1.072
2000.0,0.0,3471.0,-1.485
2080.0,0.0,3471.0,-1.669
2160.0,0.0,3470.3,-1.853
2240.0,0.0,3479.7,-2.397
2320.0,0.0,3482.1,-1.627
2400.0,0.0,3490.0,-2.241
2480.0,0.0,3489.9,-2.065
2560.0,0.0,3496.8,-1.866
2640.0,0.0,3497.2,-1.9
2720.0,0.0,3506.2,-1.922
2800.0,0.0,3507.8,-2.155
2880.0,0.0,3512.7,-1.858
2960.0,0.0,3515.4,-1.993
3040.0,0.0,3517.9,-1.706
3120.0,0.0,3512.4,-1.538
3200.0,0.0,3526.2,-1.795
3280.0,0.0,3524.1,-1.104
3360.0,0.0,3528.3,-1.316
3440.0,0.0,3533.2,-1.282
3520.0,0.0,3537.5,-0.804
3600.0,0.0,3539.2,-0.718
3680.0,0.0,3532.9,-0.423
3760.0,0.0,3538.6,-0.565
3840.0,0.0,3541.7,-0.086
3920.0,0.0,3545.7,-0.613
4000.0,0.0,3546.7,-0.331
4080.0,0.0,3546.5,0.174
4160.0,0.0,3545.9,0.068
4240.0,0.0,3547.2,-0.229
4320.0,0.0,3548.5,0.416
4400.0,0.0,3544.0,0.535
4480.0,0.0,3547.1,0.817
4560.0,0.0,3553.0,1.145
4640.0,0.0,3545.6,1.079
4720.0,0.0,3549.7,0.979
4800.0,0.0,3552.4,1.439
